Wavelength,O5V,B5V,A5V,F5V,G5V,K5V,M5V
3570,444897.525,6017.03,223.389,47.581,6.873,0.132,0
3590,440667.942,5986.547,222.976,46.315,6.807,0.126,0
3610,436005.486,5983.685,226.193,50.129,8.457,0.207,0
3630,431775.979,5962.781,230.104,50.775,8.606,0.266,0
3640,421052.346,5969.873,229.496,51.664,8.909,0.312,0
3650,430377.233,5982.876,241.752,57.452,10.225,0.401,0
3670,425681.506,5915.128,236.754,57.076,10.713,0.528,0.001
3690,420719.301,5536.82,216.296,54.253,9.946,0.359,0
3710,410362.032,5745.166,229.17,58.075,10.757,0.282,0
3730,405632.963,5856.089,232.06,53.056,7.778,0.131,0
3750,401170.356,6889.297,282.257,58.968,8.923,0.164,0
3770,396174.874,7071.577,299.707,65.52,11.074,0.399,0
3790,398272.988,7971.155,363.095,70.884,11.522,0.449,0.001
3810,403834.631,8795.457,425.461,76.603,11.227,0.379,0
3830,385651.041,7493.992,343.624,56.354,6.328,0.159,0
3850,403235.174,9306.212,483.047,77.896,9.308,0.286,0
3870,404933.591,9895.355,548.782,80.233,9.045,0.263,0
3890,369765.455,7028.651,326.066,71.487,11.029,0.311,0
3910,400804.027,9945.746,553.78,83.149,13.11,0.48,0.001
3930,396074.966,9965.654,412.271,47.785,6.809,0.194,0
3950,392145.194,9889.134,530.723,73.896,11.658,0.416,0.001
3970,354612.486,6879.343,301.315,52.573,8.287,0.284,0
3990,386183.932,9652.109,568.274,93.32,16.532,0.915,0.001
4010,384951.681,9958.188,665.452,99.593,17.716,1.152,0.001
4030,378657.384,9723.651,681.055,102.052,18.101,0.976,0.001
4050,379223.553,9943.258,677.382,100.493,17.531,0.981,0.001
4070,374461.181,9765.332,642.614,99.839,17.02,0.832,0.001
4090,360140.787,8669.166,505.494,103.033,19.817,1.43,0.002
4110,340158.885,7256.345,395.56,94.829,19.508,1.01,0.001
4130,364436.904,9355.981,630.597,107.772,19.775,1.09,0.002
4150,362505.366,9566.257,687.422,111.625,20.014,1.03,0.001
4170,360373.937,9578.077,699.917,112.114,20.483,1.09,0.002
4190,357343.325,9566.256,698.635,110.954,19.567,1.111,0.001
4210,351282.191,9527.686,705.241,111.664,20.003,0.951,0.001
4230,352081.459,9466.097,690.247,108.618,19.267,0.561,0
4250,348884.32,9398.908,699.265,111.821,19.617,0.986,0.001
4270,346053.569,9243.379,679.36,108.984,18.511,0.965,0.001
4290,343156.205,9277.595,686.748,105.202,17.23,0.989,0.001
4310,339193.063,9122.066,626.185,94.617,14.392,1.017,0.001
4330,324599.668,7855.441,484.307,109.985,21.264,1.612,0.002
4350,311158.473,7028.029,419.485,103.007,20.616,1.846,0.002
4370,330604.214,8926.723,648.85,122.337,22.907,1.968,0.003
4390,327077.395,8885.662,687.118,117.513,20.97,1.561,0.002
4410,325099.203,8985.201,690.16,121.27,22.789,1.617,0.002
4430,323593.892,8885.663,687.857,123.602,24.577,1.833,0.002
4450,320623.217,8904.326,704.198,123.835,24.448,1.964,0.003
4470,316437.022,8610.066,706.784,128.043,26.049,2.3,0.003
4490,316107.305,8704.005,702.133,128.507,26.451,2.418,0.003
4510,312247.481,8738.843,724.907,137.921,29.388,3.031,0.004
4530,310142.721,8680.365,705.806,129.579,26.823,2.334,0.003
4550,303748.501,8608.199,702.047,132.599,27.984,2.712,0.003
4570,305903.226,8618.154,724.299,140.047,29.91,3.06,0.004
4590,303365.517,8547.855,707.24,134.402,28.427,2.892,0.003
4610,301450.583,8522.97,719.779,137.92,29.275,3.015,0.004
